CNAE;DESCRIÇÃO;incomodidade_MEI
9329804;Exploração de jogos eletrônicos recreativos;1
9329899;Outras atividades de recreação e lazer não especificadas anteriormente;1
9329899;Outras atividades de recreação e lazer não especificadas anteriormente;1
9511800;Reparação e manutenção de computadores e de equipamentos periféricos;1
9512600;Reparação e manutenção de equipamentos de comunicação;1
9521500;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;1
9529101;Reparação de calçados, bolsas e artigos de viagem;1
9529102;Chaveiros;1
9529103;Reparação de relógios;1
9529104;Reparação de bicicletas, triciclos e outros veículos não-motorizados;1
9529105;Reparação de artigos do mobiliário;1
9529106;Reparação de jóias;1
9529199;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
9529199;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
9529199;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
9529199;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
9601701;Lavanderias;1
9601702;Tinturarias;1
9601703;Toalheiros;1
9602501;Cabeleireiros;1
9602501;Cabeleireiros;1
9602502;Atividades de estética e outros serviços de cuidados com a beleza;1
9602502;Atividades de estética e outros serviços de cuidados com a beleza;1
9602502;Atividades de estética e outros serviços de cuidados com a beleza;1
9603303;Serviços de sepultamento;2
9603304;Serviços de funerárias;1
9603399;Atividades funerárias e serviços relacionados não especificados anteriormente;2
9609202;Agências matrimoniais;1
9609203;Alojamento, higiene e embelezamento de animais;1
9609203;Alojamento, higiene e embelezamento de animais;1
9609203;Alojamento, higiene e embelezamento de animais;1
9609203;Alojamento, higiene e embelezamento de animais;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;1
